V0_ER,alpha,J_mean_0,J(V0),Delta_hz,U_hz,f_resonance_hz,rabi_freq_final_hz,initial_state,final_state
7.5,0.2,44.978209959694624,43.32277268263234,820.0,280.0,550.4345024753809,23.243035037984527,011,002
7.5,0.2,44.978209959694624,43.32277268263234,820.0,280.0,1096.1632416339855,23.244755548232423,011,020
7.5,0.2,44.978209959694624,43.32277268263234,820.0,280.0,1098.9672016570719,23.330585487493703,110,200
7.5,0.2,44.978209959694624,43.32277268263234,820.0,280.0,551.9863554437417,23.397849749413204,110,020
7.5,0.4,50.17356638518027,43.32277268263234,820.0,280.0,558.746314343097,52.98489820078813,110,020
7.5,0.4,50.17356638518027,43.32277268263234,820.0,280.0,1101.447638007581,49.572127005241526,110,200
7.5,0.4,50.17356638518027,43.32277268263234,820.0,280.0,1097.0220846523073,49.366913366909785,011,020
7.5,0.4,50.17356638518027,43.32277268263234,820.0,280.0,553.7354668388812,49.386074448732245,011,002
7.5,0.2,44.978209959694624,43.32277268263234,1640.0,280.0,1362.9719540516344,23.354530579174767,011,002
7.5,0.2,44.978209959694624,43.32277268263234,1640.0,280.0,1920.3264717838424,23.355149268920922,011,020
7.5,0.2,44.978209959694624,43.32277268263234,820.0,280.0,825.6785691765255,16.45722708242922,01,10
7.5,0.2,44.978209959694624,43.32277268263234,820.0,280.0,825.6785690999076,16.457227048733372,10,01
7.5,0.4,50.17356638518027,43.32277268263234,820.0,280.0,827.7430453702553,35.008622049337255,10,01
7.5,0.2,44.978209959694624,43.32277268263234,1640.0,280.0,1642.8299051626498,16.51649693107382,10,01
7.5,0.2,44.978209959694624,43.32277268263234,3280.0,280.0,3281.418033039934,16.532060496681627,10,01
7.5,0.2,44.978209959694624,43.32277268263234,820.0,280.0,1101.1937054936263,23.29972748277291,11,20
7.5,0.2,44.978209959694624,43.32277268263234,820.0,280.0,553.2286799221949,23.384195654147884,11,02
10.0,0.2,25.116146331215038,23.638705392104665,820.0,280.0,543.7296985511604,16.149923582856765,110,020
12.5,0.2,14.564292522980102,13.386499042449216,820.0,280.0,541.1690594204306,10.892658740064125,110,020
7.5,0.3,47.10069557891622,43.32277268263234,820.0,280.0,554.5218646504661,36.59471102870253,110,020
7.5,0.3,47.10069557891622,43.32277268263234,820.0,280.0,826.6460631335713,25.331388023950364,10,01
7.5,0.22,45.330630972559945,43.32277268263234,820.0,280.0,825.8054328767237,18.180723018920315,10,01
7.5,0.2,44.978209959694624,43.32277268263234,2460.0,280.0,2461.8866585901324,16.528049564754884,10,01
7.5,0.2,44.978209959694624,43.32277268263234,410.0,280.0,421.24560060063544,16.29540791749803,10,01
7.5,0.2,44.978209959694624,43.32277268263234,273.3333333333333,280.0,290.1145350896981,16.28174862344191,10,01
7.5,0.3,47.100695578916216,43.32277268263234,820.0,280.0,1100.0628211076098,35.89796804556762,110,200
7.5,0.2,44.978209959694624,43.32277268263234,410.0,280.0,672.1259613014594,22.418333577829973,110,200
5.0,0.2,83.45553262580763,81.97155529043961,820.0,280.0,1095.3586942176964,30.335674844422822,110,200
7.5,0.4,50.17356638518027,43.32277268263234,615.0,280.0,892.6581123778192,49.28444701463993,110,200
3.0,0.4,142.91349813352494,139.11997695592893,615.0,280.0,878.9598072337939,66.9530364024173,110,200
5.0,0.2,83.45553262580765,81.97155529043961,820.0,280.0,579.9870289207423,31.916595635049013,110,020
6.0,0.2,64.91010607226646,63.298170712883554,820.0,280.0,564.5195698345269,27.766908217464007,110,020
6.0,0.2,64.91010607226644,63.298170712883554,820.0,280.0,1097.3576812203903,27.805092587234803,110,200
6.0,0.2,64.91010607226647,63.298170712883554,820.0,280.0,831.5440807644397,19.567694679967982,10,01
6.0,0.2,64.91010607226647,63.298170712883554,820.0,280.0,831.5440807644397,19.567694679967982,10,01
